🕘️更新时间,#genre#
广东珠江,http://14.145.187.131:4022/udp/239.77.0.1:5146
广东珠江,http://14.145.187.131:4022/udp/239.77.0.114:5146
广东珠江,http://lsa.familyds.com:8188/udp/239.77.0.1:5146
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广东新闻,http://192.151.150.154/live/gdxw.m3u8
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxw.m3u8?auth=testpub
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxwa.m3u8?auth=testpub
广东新闻,http://107.150.60.122/live/gdxwa.m3u8
广东民生,http://125.94.244.29:2101/1234.php?id=39&s=6
广东民生,http://www.yahao.host:4022/udp/239.77.0.225:5146
南国都市4K,http://61.145.188.90:60033/udp/239.253.43.99:5146
南国都市4K,http://121.10.7.16:4000/udp/239.253.43.99:5146
南国都市4K,http://14.145.187.131:4022/udp/239.253.43.99:5146
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州新闻,https://tencentplaybusiness.gztv.com/live/xinwen.m3u8
广州新闻,https://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=c651b79c107d9cde3914d011cbb896a6&txTime=190def3c97d
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=f80e5b7654c57c7571a314d94befe320&txTime=19019c051d5
广州新闻,https://tencentplaygsm.gztv.com/live/xinwen.m3u8?txTime=659a511e&txSecret=1a5bbbb41bc728d271c8b99e5482f8e7

📡卫视频道,#genre#
江苏卫视,http://218.13.138.139:59901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://121.10.7.16:4000/udp/239.77.1.33:5146
浙江卫视,http://61.145.188.90:60033/udp/239.77.1.33:5146
浙江卫视,http://14.145.187.131:4022/udp/239.77.1.33:5146
东南卫视,http://61.145.188.90:60033/udp/239.77.1.104:5146
东南卫视,http://121.10.7.16:4000/udp/239.77.1.104:5146
